user_email,date_of_transaction,amount
harrietta.honoria@gmail.com,6/16/2023,8348.89
brandise.dulciana@gmail.com,3/3/2023,4130.74
lucille.zetta@gmail.com,11/7/2023,4545.32
meghann.suanne@gmail.com,3/10/2023,708.54
ulrike.granoff@gmail.com,3/3/2023,78.09
mara.noelyn@gmail.com,4/1/2023,7840.02
cathyleen.olympium@gmail.com,7/8/2023,1751.44
noelle.clywd@gmail.com,4/11/2023,8306.06
abbie.thema@gmail.com,10/29/2023,5822.47
mara.noelyn@gmail.com,7/21/2023,9237
harrietta.honoria@gmail.com,10/3/2023,73.57
bertine.genna@gmail.com,2/20/2023,882.21
lesly.tannie@gmail.com,1/25/2023,1948.13
georgina.ambrosia@gmail.com,9/6/2023,2507.01
arabel.gualtiero@gmail.com,10/3/2023,56.71
berta.curren@gmail.com,6/23/2023,5686.44
roz.zitvaa@gmail.com,3/26/2023,961.74
chandra.jorgan@gmail.com,10/2/2023,2051.79
gui.pernick@gmail.com,10/28/2023,9686.44
kamilah.lalitta@gmail.com,7/26/2023,5864.36
harrietta.honoria@gmail.com,6/12/2023,8722.97
annabela.anderea@gmail.com,10/2/2023,7588.5
marika.firmin@gmail.com,11/3/2023,9368.78
felice.arne@gmail.com,1/3/2023,2979.93
mara.noelyn@gmail.com,10/9/2023,6737.32
feliza.merriott@gmail.com,9/7/2023,5090.28
johna.leler@gmail.com,7/1/2023,4941.62
kial.denis@gmail.com,9/20/2023,5004.79
jany.kravits@gmail.com,11/25/2023,5242.11
karina.fillbert@gmail.com,5/18/2023,3688.84
rubie.gaynor@gmail.com,11/3/2023,9856.25
anallese.konyn@gmail.com,3/12/2023,1747.07
fidelia.bonilla@gmail.com,10/19/2023,1030.86
renae.autrey@gmail.com,1/20/2023,6932.85
anica.henebry@gmail.com,8/20/2023,1105.13
tori.fillbert@gmail.com,4/8/2023,7020.29
thalia.travax@gmail.com,3/31/2023,3741.76
nessie.madox@gmail.com,8/9/2023,9958.06
tori.uund@gmail.com,6/29/2023,7667.42
allyce.nedrud@gmail.com,8/21/2023,4193.96
ottilie.jorgan@gmail.com,1/20/2023,4790.97
ayn.fleeta@gmail.com,1/19/2023,2353.11
frances.yate@gmail.com,10/10/2023,1672.7
tori.fillbert@gmail.com,8/7/2023,9571.07
deloria.claudine@gmail.com,7/8/2023,7025.23
patricia.mehalek@gmail.com,7/21/2023,8027.38
melanie.swanhildas@gmail.com,7/20/2023,9233.07
claudina.noam@gmail.com,6/16/2023,3323.79
hyacinthe.felecia@gmail.com,7/22/2023,1736.06
fidelia.gordon@gmail.com,2/4/2023,3556.84
gavrielle.meter@gmail.com,5/6/2023,1705.38
catharine.shuler@gmail.com,9/19/2023,7442.8
katharina.lane@gmail.com,7/10/2023,6208.48
kaja.arquit@gmail.com,1/19/2023,1388.27
heida.latini@gmail.com,8/7/2023,5673.78
patricia.mehalek@gmail.com,4/20/2023,6582.41
aeriela.richers@gmail.com,11/30/2023,6460.97
linet.kolnick@gmail.com,12/3/2023,523.66
hannis.brunell@gmail.com,1/28/2023,9974.42
judy.ehrman@gmail.com,10/11/2023,786.75
marylou.fitzsimmons@gmail.com,7/17/2023,6035.5
mamie.belanger@gmail.com,6/21/2023,5335.86
dulcinea.pillsbury@gmail.com,1/16/2023,3655.93
lisette.melleta@gmail.com,11/4/2023,3343.98
lyssa.schalles@gmail.com,4/12/2023,5857.94
dulce.bahr@gmail.com,10/30/2023,934.61
judy.ehrman@gmail.com,4/22/2023,836.08
yvonne.syd@gmail.com,2/15/2023,1825.39
tressa.pacorro@gmail.com,8/16/2023,3625.87
barbi.charity@gmail.com,10/1/2023,3055.21
juliane.giule@gmail.com,4/22/2023,3248.57
lucille.hirsch@gmail.com,7/6/2023,1372.59
ivett.zetta@gmail.com,1/13/2023,2864.06
daune.haldas@gmail.com,9/3/2023,2795.45
ingrid.munn@gmail.com,8/30/2023,5193.78
penelopa.markman@gmail.com,11/15/2023,3868.93
sue.kiersten@gmail.com,11/12/2023,3465.89
ketti.meli@gmail.com,1/9/2023,1194.81
amalie.mott@gmail.com,3/1/2023,1567.31
meriel.obed@gmail.com,4/21/2023,4418.09
aurore.fulmer@gmail.com,4/6/2023,257.36
janeczka.hedve@gmail.com,9/10/2023,1062.39
ira.muriel@gmail.com,3/20/2023,4289.52
olwen.jacobah@gmail.com,8/10/2023,5246.04
goldie.koehler@gmail.com,10/15/2023,8386.38
nerta.ailyn@gmail.com,5/9/2023,3755.46
alia.adlare@gmail.com,11/24/2023,3228.55
arlena.morgun@gmail.com,10/27/2023,6379.16
elyssa.greyson@gmail.com,4/16/2023,2845.06
corry.wattenberg@gmail.com,3/25/2023,8257.55
jacquetta.kimmie@gmail.com,8/25/2023,3780.14
jany.hermes@gmail.com,3/18/2023,6224.03
jorry.baptlsta@gmail.com,5/20/2023,7474.82
codie.frendel@gmail.com,9/6/2023,1682.89
mariele.fredi@gmail.com,10/8/2023,2023.34
wynne.geffner@gmail.com,8/17/2023,9752.6
stacey.halla@gmail.com,7/23/2023,6650.76
felice.stefa@gmail.com,6/16/2023,5751.55
berta.swanhildas@gmail.com,3/31/2023,1938.35
tilly.munn@gmail.com,12/4/2023,1316.55
